日付,部門,商品名,販売数量,単価,売上金額,顧客区分,地域
2024-12-01,コンシューマー事業部,スマートウォッチ Pro,26,39800,1034800,個人,福岡
2024-12-01,コンシューマー事業部,ワイヤレスイヤホン Elite,41,24800,1016800,量販店,名古屋
2024-12-01,コンシューマー事業部,ポータブルスピーカー SX,19,18500,351500,量販店,札幌
2024-12-01,コンシューマー事業部,モバイルバッテリー Plus,54,6980,376920,個人,名古屋
2024-12-01,EC事業部,アクセサリーセット,45,4980,224100,個人,—
2024-12-01,EC事業部,限定コラボモデル,4,49800,199200,個人,—
2024-12-01,EC事業部,リファービッシュ品,6,19800,118800,個人,—
2024-12-01,EC事業部,サブスクリプションBOX,29,3980,115420,個人,—
2024-12-01,EC事業部,カスタマイズケース,24,2980,71520,個人,—
2024-12-01,海外事業部,SmartWatch Pro (NA),4,42800,171200,海外直販,北米
2024-12-01,海外事業部,Wireless Earbuds Elite (EU),8,27800,222400,海外直販,欧州
2024-12-01,海外事業部,Portable Speaker (APAC),3,19800,59400,海外直販,アジア太平洋
2024-12-01,海外事業部,Mobile Battery Plus (NA),11,7980,87780,海外代理店,北米
2024-12-02,コンシューマー事業部,スマートウォッチ Pro,16,39800,636800,個人,札幌
2024-12-02,コンシューマー事業部,ワイヤレスイヤホン Elite,23,24800,570400,個人,札幌
2024-12-02,コンシューマー事業部,ポータブルスピーカー SX,15,18500,277500,個人,札幌
2024-12-02,コンシューマー事業部,モバイルバッテリー Plus,41,6980,286180,個人,福岡
2024-12-02,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,大企業,福岡
2024-12-02,法人ソリューション事業部,サーバー保守契約,3,180000,540000,官公庁,東京
2024-12-02,EC事業部,アクセサリーセット,25,4980,124500,個人,—
2024-12-02,EC事業部,限定コラボモデル,5,49800,249000,個人,—
2024-12-02,EC事業部,リファービッシュ品,6,19800,118800,個人,—
2024-12-02,EC事業部,サブスクリプションBOX,20,3980,79600,個人,—
2024-12-02,EC事業部,カスタマイズケース,29,2980,86420,個人,—
2024-12-02,海外事業部,SmartWatch Pro (NA),10,42800,428000,海外直販,北米
2024-12-02,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外直販,欧州
2024-12-02,海外事業部,Portable Speaker (APAC),4,19800,79200,海外直販,アジア太平洋
2024-12-02,海外事業部,Mobile Battery Plus (NA),10,7980,79800,海外直販,北米
2024-12-03,コンシューマー事業部,スマートウォッチ Pro,10,39800,398000,個人,東京
2024-12-03,コンシューマー事業部,ワイヤレスイヤホン Elite,22,24800,545600,個人,札幌
2024-12-03,コンシューマー事業部,ポータブルスピーカー SX,11,18500,203500,量販店,名古屋
2024-12-03,コンシューマー事業部,モバイルバッテリー Plus,28,6980,195440,個人,名古屋
2024-12-03,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,大企業,名古屋
2024-12-03,法人ソリューション事業部,サーバー保守契約,2,180000,360000,官公庁,福岡
2024-12-03,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,教育機関,福岡
2024-12-03,EC事業部,アクセサリーセット,24,4980,119520,個人,—
2024-12-03,EC事業部,限定コラボモデル,4,49800,199200,個人,—
2024-12-03,EC事業部,リファービッシュ品,9,19800,178200,個人,—
2024-12-03,EC事業部,サブスクリプションBOX,14,3980,55720,個人,—
2024-12-03,EC事業部,カスタマイズケース,25,2980,74500,個人,—
2024-12-03,海外事業部,SmartWatch Pro (NA),6,42800,256800,海外代理店,北米
2024-12-03,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外代理店,欧州
2024-12-03,海外事業部,Portable Speaker (APAC),5,19800,99000,海外直販,アジア太平洋
2024-12-03,海外事業部,Mobile Battery Plus (NA),11,7980,87780,海外直販,北米
2024-12-04,コンシューマー事業部,スマートウォッチ Pro,13,39800,517400,個人,仙台
2024-12-04,コンシューマー事業部,ワイヤレスイヤホン Elite,30,24800,744000,個人,札幌
2024-12-04,コンシューマー事業部,ポータブルスピーカー SX,15,18500,277500,個人,仙台
2024-12-04,コンシューマー事業部,モバイルバッテリー Plus,51,6980,355980,個人,東京
2024-12-04,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,教育機関,名古屋
2024-12-04,法人ソリューション事業部,サーバー保守契約,3,180000,540000,中小企業,東京
2024-12-04,法人ソリューション事業部,導入コンサルティング,1,800000,800000,教育機関,東京
2024-12-04,EC事業部,アクセサリーセット,23,4980,114540,個人,—
2024-12-04,EC事業部,限定コラボモデル,5,49800,249000,個人,—
2024-12-04,EC事業部,リファービッシュ品,7,19800,138600,個人,—
2024-12-04,EC事業部,サブスクリプションBOX,21,3980,83580,個人,—
2024-12-04,EC事業部,カスタマイズケース,31,2980,92380,個人,—
2024-12-04,海外事業部,SmartWatch Pro (NA),7,42800,299600,海外代理店,北米
2024-12-04,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外代理店,欧州
2024-12-04,海外事業部,Portable Speaker (APAC),5,19800,99000,海外代理店,アジア太平洋
2024-12-04,海外事業部,Mobile Battery Plus (NA),12,7980,95760,海外代理店,北米
2024-12-05,コンシューマー事業部,スマートウォッチ Pro,10,39800,398000,個人,福岡
2024-12-05,コンシューマー事業部,ワイヤレスイヤホン Elite,25,24800,620000,個人,名古屋
2024-12-05,コンシューマー事業部,ポータブルスピーカー SX,13,18500,240500,量販店,大阪
2024-12-05,コンシューマー事業部,モバイルバッテリー Plus,51,6980,355980,個人,仙台
2024-12-05,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,教育機関,大阪
2024-12-05,法人ソリューション事業部,サーバー保守契約,2,180000,360000,大企業,福岡
2024-12-05,法人ソリューション事業部,導入コンサルティング,1,800000,800000,大企業,名古屋
2024-12-05,EC事業部,アクセサリーセット,33,4980,164340,個人,—
2024-12-05,EC事業部,限定コラボモデル,5,49800,249000,個人,—
2024-12-05,EC事業部,リファービッシュ品,9,19800,178200,個人,—
2024-12-05,EC事業部,サブスクリプションBOX,22,3980,87560,個人,—
2024-12-05,EC事業部,カスタマイズケース,29,2980,86420,個人,—
2024-12-05,海外事業部,SmartWatch Pro (NA),6,42800,256800,海外直販,北米
2024-12-05,海外事業部,Wireless Earbuds Elite (EU),11,27800,305800,海外直販,欧州
2024-12-05,海外事業部,Portable Speaker (APAC),7,19800,138600,海外代理店,アジア太平洋
2024-12-05,海外事業部,Mobile Battery Plus (NA),13,7980,103740,海外代理店,北米
2024-12-06,コンシューマー事業部,スマートウォッチ Pro,14,39800,557200,個人,札幌
2024-12-06,コンシューマー事業部,ワイヤレスイヤホン Elite,30,24800,744000,個人,名古屋
2024-12-06,コンシューマー事業部,ポータブルスピーカー SX,11,18500,203500,量販店,札幌
2024-12-06,コンシューマー事業部,モバイルバッテリー Plus,37,6980,258260,量販店,札幌
2024-12-06,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,官公庁,東京
2024-12-06,法人ソリューション事業部,サーバー保守契約,2,180000,360000,官公庁,大阪
2024-12-06,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,中小企業,大阪
2024-12-06,EC事業部,アクセサリーセット,37,4980,184260,個人,—
2024-12-06,EC事業部,限定コラボモデル,5,49800,249000,個人,—
2024-12-06,EC事業部,リファービッシュ品,7,19800,138600,個人,—
2024-12-06,EC事業部,サブスクリプションBOX,17,3980,67660,個人,—
2024-12-06,EC事業部,カスタマイズケース,22,2980,65560,個人,—
2024-12-06,海外事業部,SmartWatch Pro (NA),9,42800,385200,海外代理店,北米
2024-12-06,海外事業部,Wireless Earbuds Elite (EU),8,27800,222400,海外代理店,欧州
2024-12-06,海外事業部,Portable Speaker (APAC),4,19800,79200,海外代理店,アジア太平洋
2024-12-06,海外事業部,Mobile Battery Plus (NA),16,7980,127680,海外代理店,北米
2024-12-07,コンシューマー事業部,スマートウォッチ Pro,18,39800,716400,個人,大阪
2024-12-07,コンシューマー事業部,ワイヤレスイヤホン Elite,45,24800,1116000,個人,札幌
2024-12-07,コンシューマー事業部,ポータブルスピーカー SX,18,18500,333000,個人,東京
2024-12-07,コンシューマー事業部,モバイルバッテリー Plus,81,6980,565380,個人,仙台
2024-12-07,EC事業部,アクセサリーセット,41,4980,204180,個人,—
2024-12-07,EC事業部,限定コラボモデル,4,49800,199200,個人,—
2024-12-07,EC事業部,リファービッシュ品,8,19800,158400,個人,—
2024-12-07,EC事業部,サブスクリプションBOX,24,3980,95520,個人,—
2024-12-07,EC事業部,カスタマイズケース,32,2980,95360,個人,—
2024-12-07,海外事業部,SmartWatch Pro (NA),5,42800,214000,海外代理店,北米
2024-12-07,海外事業部,Wireless Earbuds Elite (EU),6,27800,166800,海外直販,欧州
2024-12-07,海外事業部,Portable Speaker (APAC),4,19800,79200,海外直販,アジア太平洋
2024-12-07,海外事業部,Mobile Battery Plus (NA),8,7980,63840,海外直販,北米
2024-12-08,コンシューマー事業部,スマートウォッチ Pro,23,39800,915400,個人,名古屋
2024-12-08,コンシューマー事業部,ワイヤレスイヤホン Elite,49,24800,1215200,個人,大阪
2024-12-08,コンシューマー事業部,ポータブルスピーカー SX,18,18500,333000,量販店,名古屋
2024-12-08,コンシューマー事業部,モバイルバッテリー Plus,45,6980,314100,量販店,札幌
2024-12-08,EC事業部,アクセサリーセット,25,4980,124500,個人,—
2024-12-08,EC事業部,限定コラボモデル,7,49800,348600,個人,—
2024-12-08,EC事業部,リファービッシュ品,10,19800,198000,個人,—
2024-12-08,EC事業部,サブスクリプションBOX,22,3980,87560,個人,—
2024-12-08,EC事業部,カスタマイズケース,24,2980,71520,個人,—
2024-12-08,海外事業部,SmartWatch Pro (NA),6,42800,256800,海外代理店,北米
2024-12-08,海外事業部,Wireless Earbuds Elite (EU),5,27800,139000,海外代理店,欧州
2024-12-08,海外事業部,Portable Speaker (APAC),4,19800,79200,海外代理店,アジア太平洋
2024-12-08,海外事業部,Mobile Battery Plus (NA),10,7980,79800,海外直販,北米
2024-12-09,コンシューマー事業部,スマートウォッチ Pro,15,39800,597000,個人,東京
2024-12-09,コンシューマー事業部,ワイヤレスイヤホン Elite,19,24800,471200,個人,福岡
2024-12-09,コンシューマー事業部,ポータブルスピーカー SX,12,18500,222000,個人,札幌
2024-12-09,コンシューマー事業部,モバイルバッテリー Plus,49,6980,342020,個人,名古屋
2024-12-09,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,官公庁,大阪
2024-12-09,法人ソリューション事業部,サーバー保守契約,2,180000,360000,官公庁,名古屋
2024-12-09,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,教育機関,名古屋
2024-12-09,EC事業部,アクセサリーセット,21,4980,104580,個人,—
2024-12-09,EC事業部,限定コラボモデル,5,49800,249000,個人,—
2024-12-09,EC事業部,リファービッシュ品,8,19800,158400,個人,—
2024-12-09,EC事業部,サブスクリプションBOX,21,3980,83580,個人,—
2024-12-09,EC事業部,カスタマイズケース,32,2980,95360,個人,—
2024-12-09,海外事業部,SmartWatch Pro (NA),9,42800,385200,海外直販,北米
2024-12-09,海外事業部,Wireless Earbuds Elite (EU),8,27800,222400,海外直販,欧州
2024-12-09,海外事業部,Portable Speaker (APAC),4,19800,79200,海外直販,アジア太平洋
2024-12-09,海外事業部,Mobile Battery Plus (NA),10,7980,79800,海外代理店,北米
2024-12-10,コンシューマー事業部,スマートウォッチ Pro,12,39800,477600,量販店,名古屋
2024-12-10,コンシューマー事業部,ワイヤレスイヤホン Elite,23,24800,570400,量販店,仙台
2024-12-10,コンシューマー事業部,ポータブルスピーカー SX,9,18500,166500,量販店,仙台
2024-12-10,コンシューマー事業部,モバイルバッテリー Plus,45,6980,314100,個人,札幌
2024-12-10,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,官公庁,福岡
2024-12-10,法人ソリューション事業部,サーバー保守契約,3,180000,540000,官公庁,大阪
2024-12-10,法人ソリューション事業部,導入コンサルティング,1,800000,800000,官公庁,名古屋
2024-12-10,EC事業部,アクセサリーセット,31,4980,154380,個人,—
2024-12-10,EC事業部,限定コラボモデル,6,49800,298800,個人,—
2024-12-10,EC事業部,リファービッシュ品,8,19800,158400,個人,—
2024-12-10,EC事業部,サブスクリプションBOX,25,3980,99500,個人,—
2024-12-10,EC事業部,カスタマイズケース,29,2980,86420,個人,—
2024-12-10,海外事業部,SmartWatch Pro (NA),8,42800,342400,海外直販,北米
2024-12-10,海外事業部,Wireless Earbuds Elite (EU),8,27800,222400,海外代理店,欧州
2024-12-10,海外事業部,Portable Speaker (APAC),6,19800,118800,海外代理店,アジア太平洋
2024-12-10,海外事業部,Mobile Battery Plus (NA),13,7980,103740,海外直販,北米
2024-12-11,コンシューマー事業部,スマートウォッチ Pro,18,39800,716400,量販店,名古屋
2024-12-11,コンシューマー事業部,ワイヤレスイヤホン Elite,31,24800,768800,個人,名古屋
2024-12-11,コンシューマー事業部,ポータブルスピーカー SX,8,18500,148000,個人,名古屋
2024-12-11,コンシューマー事業部,モバイルバッテリー Plus,50,6980,349000,個人,仙台
2024-12-11,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,中小企業,名古屋
2024-12-11,法人ソリューション事業部,サーバー保守契約,3,180000,540000,官公庁,大阪
2024-12-11,法人ソリューション事業部,導入コンサルティング,1,800000,800000,中小企業,大阪
2024-12-11,EC事業部,アクセサリーセット,21,4980,104580,個人,—
2024-12-11,EC事業部,限定コラボモデル,5,49800,249000,個人,—
2024-12-11,EC事業部,リファービッシュ品,6,19800,118800,個人,—
2024-12-11,EC事業部,サブスクリプションBOX,22,3980,87560,個人,—
2024-12-11,EC事業部,カスタマイズケース,27,2980,80460,個人,—
2024-12-11,海外事業部,SmartWatch Pro (NA),5,42800,214000,海外直販,北米
2024-12-11,海外事業部,Wireless Earbuds Elite (EU),9,27800,250200,海外直販,欧州
2024-12-11,海外事業部,Portable Speaker (APAC),5,19800,99000,海外直販,アジア太平洋
2024-12-11,海外事業部,Mobile Battery Plus (NA),17,7980,135660,海外代理店,北米
2024-12-12,コンシューマー事業部,スマートウォッチ Pro,13,39800,517400,個人,東京
2024-12-12,コンシューマー事業部,ワイヤレスイヤホン Elite,27,24800,669600,個人,札幌
2024-12-12,コンシューマー事業部,ポータブルスピーカー SX,13,18500,240500,個人,大阪
2024-12-12,コンシューマー事業部,モバイルバッテリー Plus,38,6980,265240,個人,東京
2024-12-12,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,教育機関,福岡
2024-12-12,法人ソリューション事業部,サーバー保守契約,2,180000,360000,官公庁,東京
2024-12-12,法人ソリューション事業部,導入コンサルティング,1,800000,800000,大企業,名古屋
2024-12-12,EC事業部,アクセサリーセット,26,4980,129480,個人,—
2024-12-12,EC事業部,限定コラボモデル,6,49800,298800,個人,—
2024-12-12,EC事業部,リファービッシュ品,9,19800,178200,個人,—
2024-12-12,EC事業部,サブスクリプションBOX,17,3980,67660,個人,—
2024-12-12,EC事業部,カスタマイズケース,22,2980,65560,個人,—
2024-12-12,海外事業部,SmartWatch Pro (NA),8,42800,342400,海外直販,北米
2024-12-12,海外事業部,Wireless Earbuds Elite (EU),7,27800,194600,海外代理店,欧州
2024-12-12,海外事業部,Portable Speaker (APAC),7,19800,138600,海外直販,アジア太平洋
2024-12-12,海外事業部,Mobile Battery Plus (NA),12,7980,95760,海外直販,北米
2024-12-13,コンシューマー事業部,スマートウォッチ Pro,17,39800,676600,個人,東京
2024-12-13,コンシューマー事業部,ワイヤレスイヤホン Elite,23,24800,570400,個人,大阪
2024-12-13,コンシューマー事業部,ポータブルスピーカー SX,15,18500,277500,量販店,名古屋
2024-12-13,コンシューマー事業部,モバイルバッテリー Plus,50,6980,349000,個人,名古屋
2024-12-13,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,教育機関,名古屋
